timestamp,calib_mag,calib_accel,calib_gyro,calib_sys,lacc_x,lacc_y,lacc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z,label
440.38,3,0,3,0,5.6900,-1.2800,-1.7000,3.7500,4.3125,0.2500,0.67333984375000,0.15411376953125,0.71716308593750,0.09240722656250,moving
440.39,3,0,3,0,5.0200,-0.9200,-1.1600,23.3750,-21.8750,1.5625,0.67437744140625,0.15576171875000,0.71606445312500,0.09075927734375,moving
440.40,3,0,3,0,3.6300,-0.3900,-1.0700,40.7500,-27.8125,-0.1250,0.67553710937500,0.15838623046875,0.71472167968750,0.08782958984375,moving
440.41,3,0,3,0,-1.7300,1.5600,-2.5800,52.6250,-20.8125,-8.3125,0.67614746093750,0.16113281250000,0.71405029296875,0.08380126953125,moving
440.42,3,0,3,0,-6.1800,2.5700,-3.4200,64.0625,-22.5625,-29.8750,0.67687988281250,0.16326904296875,0.71356201171875,0.07769775390625,moving
440.43,3,0,3,0,-14.2400,7.2000,-3.7000,54.8125,-40.8750,-64.0625,0.67901611328125,0.16278076171875,0.71240234375000,0.06994628906250,moving
440.44,3,0,3,0,-20.4600,9.0000,-2.7200,42.9375,-81.7500,-85.7500,0.68395996093750,0.16046142578125,0.70904541015625,0.06103515625000,moving
440.45,3,0,3,0,-17.6200,1.5900,6.3200,73.3125,-140.7500,-40.6875,0.69177246093750,0.16308593750000,0.70153808593750,0.05212402343750,moving
440.46,3,0,3,0,-8.4000,0.3200,9.8800,102.9375,-160.1250,19.4375,0.69995117187500,0.17120361328125,0.69195556640625,0.04467773437500,moving
440.47,3,0,3,0,-2.5700,-1.6300,10.7200,59.1875,-113.7500,28.0000,0.70574951171875,0.17694091796875,0.68475341796875,0.04113769531250,moving
440.48,3,0,3,0,-1.0200,-1.6100,7.3900,-21.3750,8.1250,8.6875,0.70556640625000,0.17608642578125,0.68505859375000,0.04309082031250,moving
440.49,3,0,3,0,-0.6800,0.2100,0.6500,-52.6250,89.6250,-5.3125,0.70104980468750,0.17218017578125,0.69042968750000,0.04724121093750,moving
440.50,3,0,3,0,1.6500,-0.1600,-0.8600,-67.0625,122.6250,-8.1875,0.69464111328125,0.16711425781250,0.69769287109375,0.05267333984375,moving
440.51,3,0,3,0,3.3000,-0.8000,-1.1400,-75.8750,111.6250,-6.1875,0.68896484375000,0.16156005859375,0.70416259765625,0.05853271484375,moving
440.52,3,0,3,0,5.9400,-1.7500,-1.5000,-68.1875,80.1875,0.7500,0.68493652343750,0.15710449218750,0.70855712890625,0.06390380859375,moving
440.53,3,0,3,0,7.0700,-1.8400,-0.8800,-55.0625,58.0000,5.6250,0.68206787109375,0.15386962890625,0.71160888671875,0.06842041015625,moving
440.54,3,0,3,0,7.4400,-2.2900,-1.3800,-62.3750,32.0000,4.7500,0.68090820312500,0.15020751953125,0.71307373046875,0.07299804687500,moving
440.55,3,0,3,0,7.4400,-2.2900,-1.3800,-62.3750,32.0000,4.7500,0.68090820312500,0.15020751953125,0.71307373046875,0.07299804687500,moving
440.55,3,0,3,0,7.6800,-1.7100,-0.6600,-56.7500,6.7500,10.7500,0.68115234375000,0.14746093750000,0.71295166015625,0.07727050781250,moving
440.56,3,0,3,0,8.3100,-0.5300,-1.2700,-44.2500,10.6250,18.8125,0.68096923828125,0.14593505859375,0.71301269531250,0.08129882812500,moving
440.57,3,0,3,0,8.4300,-0.0700,-1.6600,-34.8125,12.6875,16.0625,0.68048095703125,0.14477539062500,0.71331787109375,0.08459472656250,moving
440.58,3,0,3,0,8.1400,0.2100,-1.6800,-28.6250,22.0625,2.4375,0.67944335937500,0.14306640625000,0.71435546875000,0.08679199218750,moving
440.59,3,0,3,0,6.2900,-0.6300,-2.8700,-18.0625,18.1250,-7.3125,0.67858886718750,0.14141845703125,0.71539306640625,0.08770751953125,moving
440.60,3,0,3,0,4.8000,-0.5000,-3.0300,-2.5625,9.6250,-4.0000,0.67810058593750,0.14093017578125,0.71600341796875,0.08776855468750,moving
440.61,3,0,3,0,4.2100,-0.3400,-2.7200,21.4375,-3.2500,3.1875,0.67797851562500,0.14245605468750,0.71594238281250,0.08654785156250,moving
440.62,3,0,3,0,2.6400,0.2200,-1.4900,45.1250,-13.1875,4.6250,0.67822265625000,0.14550781250000,0.71545410156250,0.08386230468750,moving
440.63,3,0,3,0,-2.9200,0.9700,-2.3900,67.1250,-17.0000,-2.4375,0.67840576171875,0.14947509765625,0.71490478515625,0.07934570312500,moving
440.64,3,0,3,0,-7.2800,1.5800,-2.0900,90.2500,-40.8125,-20.8125,0.67987060546875,0.15380859375000,0.71337890625000,0.07196044921875,moving
440.65,3,0,3,0,-13.0200,3.3000,-1.5900,87.6875,-73.9375,-49.0625,0.68359375000000,0.15643310546875,0.71014404296875,0.06256103515625,moving
440.66,3,0,3,0,-15.3900,1.5300,0.8400,90.8750,-117.8125,-50.7500,0.68981933593750,0.15930175781250,0.70428466796875,0.05230712890625,moving
440.67,3,0,3,0,-10.9100,-0.1600,6.6300,85.6250,-126.1250,-6.8125,0.69635009765625,0.16461181640625,0.69708251953125,0.04486083984375,moving
