timestamp,calib_mag,calib_accel,calib_gyro,calib_sys,lacc_x,lacc_y,lacc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z,label
60.17,3,1,3,0,-4.3200,-0.0200,-5.2700,-55.3750,21.5000,17.9375,0.45202636718750,-0.58270263671875,0.53735351562500,0.40911865234375,moving
60.18,3,1,3,0,-3.1200,-1.1500,-4.2000,-42.6875,32.5625,9.1250,0.44799804687500,-0.58514404296875,0.53759765625000,0.40979003906250,moving
60.20,3,1,3,0,-2.0300,-1.9900,-2.5100,-34.1875,47.9375,-3.4375,0.44409179687500,-0.58831787109375,0.53802490234375,0.40881347656250,moving
60.21,3,1,3,0,-0.1000,-2.1500,-0.9600,-41.0000,55.5000,-19.8750,0.44006347656250,-0.59283447265625,0.53771972656250,0.40710449218750,moving
60.22,3,1,3,0,1.9300,-1.5100,0.5800,-49.5625,37.6250,-25.8750,0.43664550781250,-0.59729003906250,0.53607177734375,0.40649414062500,moving
60.23,3,1,3,0,1.2400,-1.8700,0.9600,-45.8125,20.1875,-19.9375,0.43402099609375,-0.60064697265625,0.53417968750000,0.40686035156250,moving
60.24,3,1,3,0,0.3100,-2.4100,0.6500,-30.3125,25.7500,-11.3750,0.43164062500000,-0.60327148437500,0.53344726562500,0.40649414062500,moving
60.25,3,1,3,0,-0.0200,-2.1000,1.0400,-21.6250,23.9375,-4.8750,0.42950439453125,-0.60516357421875,0.53332519531250,0.40600585937500,moving
60.25,3,1,3,0,0.2400,-1.2400,2.0900,-16.3125,10.0625,-3.3750,0.42828369140625,-0.60626220703125,0.53295898437500,0.40612792968750,moving
60.26,3,1,3,0,0.4000,-1.0900,1.7200,-5.9375,-1.4375,-3.3125,0.42816162109375,-0.60656738281250,0.53253173828125,0.40637207031250,moving
60.27,3,1,3,0,1.3500,-1.0700,1.1700,0.3125,1.1250,-5.4375,0.42834472656250,-0.60687255859375,0.53228759765625,0.40606689453125,moving
60.29,3,1,3,0,1.7100,-0.6100,1.6900,-2.4375,13.7500,-7.1875,0.42779541015625,-0.60778808593750,0.53234863281250,0.40521240234375,moving
60.30,3,1,3,0,0.0400,0.6900,2.5000,-7.4375,21.1875,-4.1875,0.42657470703125,-0.60900878906250,0.53265380859375,0.40423583984375,moving
60.31,3,1,3,0,-0.8500,0.7500,2.2200,-7.0625,16.8125,-2.8750,0.42553710937500,-0.61004638671875,0.53283691406250,0.40356445312500,moving
60.32,3,1,3,0,-1.5800,0.8400,1.7600,-8.8750,1.5625,-4.8125,0.42510986328125,-0.61065673828125,0.53234863281250,0.40374755859375,moving
60.33,3,1,3,0,-1.7400,0.9100,0.8800,-16.0625,-11.0625,-7.7500,0.42504882812500,-0.61120605468750,0.53094482421875,0.40478515625000,moving
60.33,3,1,3,0,-0.4800,0.5600,0.0200,-27.6250,-10.3125,-8.1875,0.42437744140625,-0.61224365234375,0.52911376953125,0.40631103515625,moving
60.34,3,1,3,0,0.3800,-0.2200,-0.1100,-41.7500,-9.2500,-6.0000,0.42279052734375,-0.61370849609375,0.52697753906250,0.40850830078125,moving
60.36,3,1,3,0,1.4100,-0.8000,-0.5200,-48.2500,-10.6875,-4.6875,0.42083740234375,-0.61535644531250,0.52459716796875,0.41113281250000,moving
60.37,3,1,3,0,1.8700,-1.2200,-1.3200,-52.6875,-6.3125,-4.9375,0.41845703125000,-0.61724853515625,0.52221679687500,0.41369628906250,moving
60.38,3,1,3,0,1.6000,-2.0800,-2.6900,-56.3750,-2.5000,-6.7500,0.41583251953125,-0.61950683593750,0.51971435546875,0.41613769531250,moving
60.39,3,1,3,0,0.9000,-2.1500,-3.7500,-55.9375,5.6875,-8.3750,0.41284179687500,-0.62213134765625,0.51745605468750,0.41809082031250,moving
60.40,3,1,3,0,0.0600,-1.7400,-4.7100,-47.1875,23.2500,-9.6250,0.40954589843750,-0.62512207031250,0.51599121093750,0.41857910156250,moving
60.41,3,1,3,0,-0.6400,-1.5100,-3.8300,-26.8125,42.7500,-11.5625,0.40661621093750,-0.62817382812500,0.51593017578125,0.41705322265625,moving
60.42,3,1,3,0,-0.6400,-1.5100,-3.8300,-26.8125,42.7500,-11.5625,0.40661621093750,-0.62817382812500,0.51593017578125,0.41705322265625,moving
60.42,3,1,3,0,0.4200,0.1600,-4.3600,8.7500,64.5625,-7.4375,0.40441894531250,-0.63055419921875,0.51812744140625,0.41284179687500,moving
60.43,3,1,3,0,0.5100,-0.7400,-2.6100,39.8125,52.2500,-8.5000,0.40454101562500,-0.63140869140625,0.52093505859375,0.40783691406250,moving
60.44,3,1,3,0,0.7900,-1.5600,-1.1000,39.6250,50.7500,-12.8750,0.40484619140625,-0.63238525390625,0.52337646484375,0.40277099609375,moving
60.45,3,1,3,0,1.1700,-1.2100,0.9500,25.8125,40.1875,-15.6875,0.40502929687500,-0.63360595703125,0.52484130859375,0.39880371093750,moving
60.46,3,1,3,0,0.5800,-0.9800,2.5200,11.0625,24.6250,-16.1250,0.40502929687500,-0.63482666015625,0.52520751953125,0.39630126953125,moving
60.47,3,1,3,0,-0.4300,-0.3600,3.0800,7.0625,28.6250,-14.3125,0.40460205078125,-0.63623046875000,0.52569580078125,0.39385986328125,moving
60.48,3,1,3,0,-1.2000,-0.0700,3.2800,13.6875,37.3750,-16.2500,0.40423583984375,-0.63775634765625,0.52655029296875,0.39056396484375,moving
60.49,3,1,3,0,-1.6000,0.3200,3.9700,29.3750,21.8125,-22.8125,0.40563964843750,-0.63854980468750,0.52703857421875,0.38720703125000,moving
60.50,3,1,3,0,-1.3300,-0.0400,4.1000,45.0625,-4.1875,-26.4375,0.40924072265625,-0.63800048828125,0.52697753906250,0.38439941406250,moving
60.50,3,1,3,0,-1.8100,-0.2100,2.4400,36.0625,-20.6875,-21.8750,0.41296386718750,-0.63702392578125,0.52618408203125,0.38311767578125,moving
60.51,3,1,3,0,-2.6300,-0.1300,0.5800,18.6875,-27.0000,-16.5625,0.41577148437500,-0.63623046875000,0.52490234375000,0.38311767578125,moving
60.52,3,1,3,0,-3.5100,1.6500,1.6000,6.6250,-19.0000,-17.0000,0.41760253906250,-0.63610839843750,0.52349853515625,0.38330078125000,moving
60.54,3,1,3,0,-3.4800,2.0300,2.0400,-12.6250,1.4375,-13.2500,0.41729736328125,-0.63726806640625,0.52239990234375,0.38330078125000,moving
60.55,3,1,3,0,-3.0200,1.4800,1.6200,-14.2500,18.5625,-3.6875,0.41577148437500,-0.63854980468750,0.52233886718750,0.38275146484375,moving
60.56,3,1,3,0,-1.6700,1.6800,0.8000,-13.1875,2.0625,2.7500,0.41485595703125,-0.63897705078125,0.52215576171875,0.38336181640625,moving
60.57,3,1,3,0,1.8500,-0.6100,-0.9200,-18.9375,-12.2500,-3.1875,0.41448974609375,-0.63940429687500,0.52087402343750,0.38482666015625,moving
60.58,3,1,3,0,2.7800,-1.0100,-1.7400,-21.2500,-12.5000,-6.5000,0.41406250000000,-0.64001464843750,0.51934814453125,0.38623046875000,moving
60.58,3,1,3,0,3.2700,-0.9700,-2.9200,-23.2500,-9.3125,-5.4375,0.41339111328125,-0.64080810546875,0.51794433593750,0.38763427734375,moving
60.59,3,1,3,0,3.2000,-0.9000,-4.2300,-19.9375,-0.3125,0.1875,0.41229248046875,-0.64154052734375,0.51721191406250,0.38848876953125,moving
60.61,3,1,3,0,1.6100,-0.9700,-5.7900,-5.2500,32.1875,7.7500,0.41027832031250,-0.64245605468750,0.51861572265625,0.38720703125000,moving
60.62,3,1,3,0,0.7700,-0.4400,-6.9900,25.0000,84.2500,10.4375,0.40753173828125,-0.64392089843750,0.52307128906250,0.38171386718750,moving
60.63,3,1,3,0,0.4300,0.0000,-4.4500,59.6250,72.0000,16.3750,0.40704345703125,-0.64343261718750,0.52850341796875,0.37548828125000,moving
60.64,3,1,3,0,0.5000,0.0000,-1.5200,89.1875,58.3125,18.8125,0.40869140625000,-0.64129638671875,0.53454589843750,0.36877441406250,moving
60.65,3,1,3,0,1.1500,-0.2000,1.4500,88.4375,40.9375,17.4375,0.41113281250000,-0.63861083984375,0.53979492187500,0.36297607421875,moving
60.66,3,1,3,0,1.5000,-0.0700,2.8700,67.0000,56.1250,10.5625,0.41186523437500,-0.63745117187500,0.54455566406250,0.35699462890625,moving
60.67,3,1,3,0,1.7900,0.5600,3.0300,47.8125,47.0000,3.4375,0.41217041015625,-0.63702392578125,0.54791259765625,0.35223388671875,moving
60.67,3,1,3,0,1.7900,0.5600,3.0300,47.8125,47.0000,3.4375,0.41217041015625,-0.63702392578125,0.54791259765625,0.35223388671875,moving
60.68,3,1,3,0,1.7000,1.0900,3.3100,43.3750,26.6875,1.0625,0.41326904296875,-0.63623046875000,0.55023193359375,0.34869384765625,moving
60.68,3,1,3,0,0.8500,1.3500,2.6600,40.4375,4.1250,-3.5625,0.41546630859375,-0.63507080078125,0.55139160156250,0.34637451171875,moving
60.70,3,1,3,0,-0.3900,1.7300,3.9300,32.1250,-20.6875,-12.5625,0.41857910156250,-0.63391113281250,0.55096435546875,0.34552001953125,moving
60.71,3,1,3,0,-1.2000,1.4400,2.3500,16.3750,-18.1875,-25.7500,0.42114257812500,-0.63403320312500,0.54931640625000,0.34478759765625,moving
60.72,3,1,3,0,-1.0400,1.9800,1.6400,4.3750,-31.5000,-34.1875,0.42395019531250,-0.63452148437500,0.54644775390625,0.34509277343750,moving
60.73,3,1,3,0,-0.4700,1.8200,2.5400,-8.1875,-37.1250,-33.8750,0.42626953125000,-0.63531494140625,0.54290771484375,0.34625244140625,moving
60.74,3,1,3,0,-0.5900,1.5900,2.1700,-26.4375,-5.8750,-22.1875,0.42578125000000,-0.63720703125000,0.54064941406250,0.34698486328125,moving
60.75,3,1,3,0,-0.4100,1.1200,1.0700,-40.7500,45.0625,-6.4375,0.42156982421875,-0.64031982421875,0.54071044921875,0.34619140625000,moving
60.75,3,1,3,0,0.5800,0.6100,-0.4800,-53.6875,49.8125,11.5625,0.41583251953125,-0.64324951171875,0.54156494140625,0.34637451171875,moving
60.76,3,1,3,0,0.4000,-0.0900,-1.3300,-60.2500,29.4375,22.7500,0.41040039062500,-0.64526367187500,0.54211425781250,0.34838867187500,moving
60.77,3,1,3,0,0.7300,-0.0900,-2.6300,-58.0625,20.3125,17.8750,0.40557861328125,-0.64709472656250,0.54205322265625,0.35064697265625,moving
60.79,3,1,3,0,0.7600,-1.2500,-3.1600,-43.6875,33.8750,2.1875,0.40148925781250,-0.64953613281250,0.54205322265625,0.35083007812500,moving
60.80,3,1,3,0,-1.3500,-3.6100,-3.2800,-35.6250,64.9375,-13.5000,0.39678955078125,-0.65344238281250,0.54241943359375,0.34838867187500,moving
60.81,3,1,3,0,-3.7100,-4.6000,-6.4800,-34.7500,101.3750,-34.5625,0.39105224609375,-0.65930175781250,0.54290771484375,0.34301757812500,moving
60.82,3,1,3,0,-3.5600,-5.0900,-4.4900,-47.3125,90.1875,-55.8125,0.38568115234375,-0.66625976562500,0.54132080078125,0.33813476562500,moving
