timestamp,calib_mag,calib_accel,calib_gyro,calib_sys,lacc_x,lacc_y,lacc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z,label
182.92,3,0,3,3,-2.9200,-2.7400,-1.8100,13.6875,-55.6875,83.0000,0.59277343750000,-0.57128906250000,-0.43682861328125,-0.36254882812500,moving
182.93,3,0,3,3,-1.6100,-1.7600,-1.0200,14.7500,-64.9375,88.4375,0.59381103515625,-0.57592773437500,-0.43621826171875,-0.35412597656250,moving
182.94,3,0,3,3,-0.5900,-1.1500,-0.4100,14.2500,-68.5625,91.6875,0.59472656250000,-0.58081054687500,-0.43554687500000,-0.34533691406250,moving
182.97,3,0,3,3,1.0200,0.6100,0.3100,23.1875,-80.5000,88.4375,0.59631347656250,-0.59002685546875,-0.43542480468750,-0.32666015625000,moving
182.97,3,0,3,3,1.9200,2.6500,0.5300,30.6250,-86.6875,87.4375,0.59704589843750,-0.59423828125000,-0.43627929687500,-0.31640625000000,moving
182.98,3,0,3,3,2.5800,4.0000,0.5400,37.7500,-86.4375,78.8125,0.59783935546875,-0.59765625000000,-0.43768310546875,-0.30633544921875,moving
182.99,3,0,3,3,3.2100,5.4500,0.5800,40.1875,-87.1250,64.5625,0.59832763671875,-0.60034179687500,-0.43988037109375,-0.29681396484375,moving
183.01,3,0,3,3,3.7600,6.7900,0.7200,41.7500,-86.3125,48.4375,0.59844970703125,-0.60223388671875,-0.44293212890625,-0.28814697265625,moving
183.02,3,0,3,3,4.9200,7.7900,1.5000,48.9375,-88.1875,40.0625,0.59857177734375,-0.60345458984375,-0.44659423828125,-0.27947998046875,moving
183.02,3,0,3,3,5.8500,7.8800,0.8300,52.6875,-98.0625,29.1875,0.59820556640625,-0.60418701171875,-0.45141601562500,-0.27069091796875,moving
183.04,3,0,3,3,6.8500,7.5900,1.2900,49.7500,-98.4375,23.3750,0.59747314453125,-0.60479736328125,-0.45648193359375,-0.26232910156250,moving
183.05,3,0,3,3,6.9000,6.1900,1.8800,53.6250,-90.8125,13.1250,0.59698486328125,-0.60461425781250,-0.46173095703125,-0.25469970703125,moving
183.05,3,0,3,3,6.9100,5.4900,2.0800,36.8125,-83.3125,1.7500,0.59558105468750,-0.60461425781250,-0.46679687500000,-0.24871826171875,moving
183.06,3,0,3,3,6.9300,4.8800,1.8800,18.6875,-67.7500,-10.6875,0.59356689453125,-0.60461425781250,-0.47125244140625,-0.24493408203125,moving
183.07,3,0,3,3,7.1800,4.8900,1.7700,2.1875,-40.1250,-24.5625,0.59149169921875,-0.60437011718750,-0.47473144531250,-0.24401855468750,moving
183.08,3,0,3,3,5.7400,5.2200,1.7900,-3.5000,-5.3750,-37.8125,0.59027099609375,-0.60308837890625,-0.47692871093750,-0.24584960937500,moving
183.10,3,0,3,3,5.1400,5.6200,0.8200,-5.9375,27.8750,-49.4375,0.59002685546875,-0.60070800781250,-0.47796630859375,-0.25012207031250,moving
183.11,3,0,3,3,4.5300,5.7500,-0.1200,-10.3750,52.9375,-62.5000,0.59033203125000,-0.59741210937500,-0.47827148437500,-0.25659179687500,moving
183.12,3,0,3,3,3.7700,5.2400,-0.8000,-15.3125,72.0000,-73.4375,0.59082031250000,-0.59350585937500,-0.47808837890625,-0.26477050781250,moving
183.12,3,0,3,3,3.7700,5.2400,-0.8000,-15.3125,72.0000,-73.4375,0.59082031250000,-0.59350585937500,-0.47808837890625,-0.26477050781250,moving
183.13,3,0,3,3,2.9800,3.9700,-0.9700,-17.6250,83.9375,-82.3125,0.59149169921875,-0.58898925781250,-0.47760009765625,-0.27410888671875,moving
183.13,3,0,3,3,2.1700,3.0800,-0.7400,-19.1875,88.9375,-89.0625,0.59204101562500,-0.58404541015625,-0.47711181640625,-0.28411865234375,moving
183.14,3,0,3,3,1.2500,2.3500,-0.4600,-22.6875,92.3125,-92.7500,0.59234619140625,-0.57904052734375,-0.47650146484375,-0.29461669921875,moving
183.15,3,0,3,3,-0.8400,0.8800,-0.8500,-32.6875,93.0625,-93.2500,0.59210205078125,-0.57440185546875,-0.47558593750000,-0.30548095703125,moving
183.16,3,0,3,3,-1.2100,0.3600,-1.1200,-41.6250,91.4375,-92.8750,0.59130859375000,-0.57019042968750,-0.47436523437500,-0.31658935546875,moving
