Linear Accel X = 275, Y = 52, Z = -61, qw = 11807, qx = 295, qy = -740, qz = 21429
Linear Accel X = 225, Y = 57, Z = -64, qw = 11803, qx = 267, qy = -633, qz = -11343
Linear Accel X = 223, Y = 72, Z = -54, qw = 11804, qx = 208, qy = -661, qz = -11342
Linear Accel X = 212, Y = 70, Z = -74, qw = 11801, qx = 171, qy = -678, qz = -11344
Linear Accel X = 257, Y = 88, Z = -72, qw = 11808, qx = 84, qy = -802, qz = -11330
Linear Accel X = 235, Y = 81, Z = -66, qw = 11804, qx = 52, qy = -805, qz = -11333
Linear Accel X = 187, Y = 114, Z = -75, qw = 11807, qx = 51, qy = -791, qz = -11332
Linear Accel X = 253, Y = 152, Z = -28, qw = 11815, qx = 47, qy = -770, qz = -11325
Linear Accel X = 254, Y = 152, Z = -14, qw = 11854, qx = 45, qy = -748, qz = -11286
Linear Accel X = 252, Y = 149, Z = -28, qw = 11889, qx = 52, qy = -729, qz = -11250
Linear Accel X = 171, Y = 126, Z = -7, qw = 11938, qx = 58, qy = -731, qz = -11197
Linear Accel X = 159, Y = 131, Z = 0, qw = 11972, qx = 69, qy = -736, qz = -11161
Linear Accel X = 143, Y = 122, Z = -42, qw = 12013, qx = 99, qy = -741, qz = -11116
Linear Accel X = 147, Y = 79, Z = -28, qw = 12116, qx = 121, qy = -738, qz = -11004
Linear Accel X = 315, Y = 46, Z = 4, qw = 12203, qx = 86, qy = -733, qz = -10907
Linear Accel X = 250, Y = 34, Z = -39, qw = 12307, qx = 56, qy = -724, qz = -10791
Linear Accel X = 190, Y = 52, Z = -30, qw = 12359, qx = 44, qy = -707, qz = -10733
Linear Accel X = 219, Y = 23, Z = -62, qw = 12460, qx = 62, qy = -655, qz = -10618
Linear Accel X = 291, Y = 29, Z = -23, qw = 12507, qx = 62, qy = -627, qz = -10564
Linear Accel X = 318, Y = 55, Z = -33, qw = 12565, qx = 56, qy = -603, qz = -10497
Linear Accel X = 263, Y = 101, Z = 32, qw = 12600, qx = 46, qy = -554, qz = -10457
Linear Accel X = 196, Y = 185, Z = 85, qw = 12661, qx = 49, qy = -513, qz = -10386
Linear Accel X = 256, Y = 234, Z = 63, qw = 12716, qx = 54, qy = -476, qz = -10320
Linear Accel X = 310, Y = 170, Z = 12, qw = 12786, qx = 78, qy = -459, qz = -10235
Linear Accel X = 340, Y = 171, Z = -3, qw = 12880, qx = 143, qy = -443, qz = -10116
Linear Accel X = 272, Y = 164, Z = -57, qw = 12925, qx = 191, qy = -434, qz = -10058
Linear Accel X = 302, Y = 162, Z = -26, qw = 12977, qx = 232, qy = -429, qz = -9989
Linear Accel X = 297, Y = 151, Z = -9, qw = 13035, qx = 258, qy = -425, qz = -9913
Linear Accel X = 370, Y = 127, Z = -24, qw = 13158, qx = 286, qy = -437, qz = -9748
Linear Accel X = 318, Y = 109, Z = -14, qw = 13213, qx = 293, qy = -462, qz = -9672
Linear Accel X = 290, Y = 130, Z = 3, qw = 13257, qx = 327, qy = -480, qz = -9610
Linear Accel X = 257, Y = 101, Z = -18, qw = 13305, qx = 422, qy = -479, qz = -9540
Linear Accel X = 323, Y = 54, Z = -96, qw = 13336, qx = 493, qy = -454, qz = -9493
Linear Accel X = 361, Y = 41, Z = -49, qw = 13374, qx = 540, qy = -436, qz = -9439
